asientocontableid,cuentaid,cuenta,codigocuenta,descripcioncuenta,fechamovimiento,tipoasiento,numero_asiento,secuencia,glosa,sucursal,centrocosto,rutcontraparte,contraparte,descripciondetalle,numerodocumento,tipodocumento,tipomovimiento,fechadocumento,debe,haber,saldofinal,movimientocontableid
129721042,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-24T00:00:00.000Z,Egreso,2166,1,Pago contratista,,,,,,,,,,0,2858240.0000,118123342.0000,475926375
129721201,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-24T00:00:00.000Z,Egreso,2167,1,Patricia rios asperti,,,,,,,,,,0,1000000.0000,117123342.0000,475926930
129541496,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-25T00:00:00.000Z,Egreso,2124,2,Of centra,,,,,,,,,,0,612968.0000,116510374.0000,475356626
129541793,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-25T00:00:00.000Z,Egreso,2125,2,Of centra pago cuentas via internet,,,,,,,,,,0,42596.0000,116467778.0000,475357318
129541955,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-25T00:00:00.000Z,Egreso,2126,2,Of centra,,,,,,,,,,0,197740.0000,116270038.0000,475357905
129634396,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-25T00:00:00.000Z,Egreso,2163,1,Luz patricia de empresa,,,,,,,,,,0,1100.0000,116268938.0000,475666780
129720659,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-25T00:00:00.000Z,Egreso,2164,4,Of centra pago cuentas via internet,,,,,,,,,,0,116224.0000,116152714.0000,475924818
129720988,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-25T00:00:00.000Z,Egreso,2165,1,Patricia rios asperti,,,,,,,,,,0,500000.0000,115652714.0000,475926112
129541481,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-26T00:00:00.000Z,Egreso,2123,2,Of virt u pac bci seguros gene,,,,,,,,,,0,195748.0000,115456966.0000,475356529
129634366,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-26T00:00:00.000Z,Egreso,2162,1,Pago f 1735 transportes san benito de palermo spa,,,,,,,,,,0,79990.0000,115376976.0000,475666644
129634123,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-26T00:00:00.000Z,Ingreso,865,3,Of virt u,,,,,,,,,,1373736.0000,0,116750712.0000,475665785
129541470,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-27T00:00:00.000Z,Egreso,2122,2,Of centra,,,,,,,,,,0,83300.0000,116667412.0000,475356477
129546586,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-28T00:00:00.000Z,Egreso,2155,2,Of centra pago cuentas via internet,,,,,,,,,,0,3081400.0000,113586012.0000,475371456
129546614,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-28T00:00:00.000Z,Egreso,2156,3,Of centra pago cuentas via internet,,,,,,,,,,0,516956.0000,113069056.0000,475371572
129632496,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-28T00:00:00.000Z,Egreso,2157,2,Of centra,,,,,,,,,,0,6304784.0000,106764272.0000,475659756
129632737,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-28T00:00:00.000Z,Egreso,2158,2,Of centra,,,,,,,,,,0,7000000.0000,99764272.0000,475660497
129633462,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-28T00:00:00.000Z,Egreso,2160,1,Entel hogar - telefonía fija,,,,,,,,,,0,8990.0000,99755282.0000,475663093
129633649,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-28T00:00:00.000Z,Egreso,2161,1,Autopista vespucio norte,,,,,,,,,,0,192220.0000,99563062.0000,475663613
129573099,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-28T00:00:00.000Z,Ingreso,863,7,Of virt u,,,,,,,,,,4833423.0000,0,104396485.0000,475456942
129632214,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-28T00:00:00.000Z,Ingreso,864,1,Ingresos cencosud retail s.a. 28-08-2026,,,,,,,,,,56855244.0000,0,161251729.0000,475657313
129541240,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-31T00:00:00.000Z,Egreso,2114,2,Of centra,,,,,,,,,,0,1170960.0000,160080769.0000,475355651
129541255,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-31T00:00:00.000Z,Egreso,2115,2,Of centra,,,,,,,,,,0,6164200.0000,153916569.0000,475355711
129541310,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-31T00:00:00.000Z,Egreso,2116,2,Of centra,,,,,,,,,,0,600000.0000,153316569.0000,475355873
129541340,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-31T00:00:00.000Z,Egreso,2117,2,Of centra,,,,,,,,,,0,408730.0000,152907839.0000,475356013
129541375,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-31T00:00:00.000Z,Egreso,2118,2,Of centra,,,,,,,,,,0,23491.0000,152884348.0000,475356130
129541387,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-31T00:00:00.000Z,Egreso,2119,2,Of centra,,,,,,,,,,0,97211.0000,152787137.0000,475356191
129541410,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-31T00:00:00.000Z,Egreso,2120,2,Of centra,,,,,,,,,,0,699720.0000,152087417.0000,475356272
129541432,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-31T00:00:00.000Z,Egreso,2121,2,Of centra,,,,,,,,,,0,545924.0000,151541493.0000,475356394
129545343,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-31T00:00:00.000Z,Egreso,2152,1,Boleta 37894 cliente 172 agua,,,,,,,,,,0,413780.0000,151127713.0000,475367420
129545539,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-31T00:00:00.000Z,Egreso,2153,1,Patricia rios asperti,,,,,,,,,,0,500000.0000,150627713.0000,475368040
129545559,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-31T00:00:00.000Z,Egreso,2154,1,Mary perez flores,,,,,,,,,,0,2900833.0000,147726880.0000,475368143
129632751,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-31T00:00:00.000Z,Egreso,2159,1,Cuota 8 finiquito,,,,,,,,,,0,2500000.0000,145226880.0000,475660551
,40025640,1104-01 DEUDORES CLIENTES,1104-01,DEUDORES CLIENTES,,,,,Acumulado Anterior,,,,,,,,,,1657164070.0000,1413454853.0000,243709217.0000,
129822931,40025640,1104-01 DEUDORES CLIENTES,1104-01,DEUDORES CLIENTES,2026-08-05T00:00:00.000Z,Ingreso,874,1,Of virt u,,,,,,,,,,0,385560.0000,243323657.0000,476280936
129822931,40025640,1104-01 DEUDORES CLIENTES,1104-01,DEUDORES CLIENTES,2026-08-05T00:00:00.000Z,Ingreso,874,2,Of virt u,,,,,,,,,,0,385560.0000,242938097.0000,476280941
129801299,40025640,1104-01 DEUDORES CLIENTES,1104-01,DEUDORES CLIENTES,2026-08-07T00:00:00.000Z,Ingreso,872,1,Of virt u,,,,,,,,,,0,385560.0000,242552537.0000,476202592
129801299,40025640,1104-01 DEUDORES CLIENTES,1104-01,DEUDORES CLIENTES,2026-08-07T00:00:00.000Z,Ingreso,872,2,Of virt u,,,,,,,,,,0,385560.0000,242166977.0000,476202593
129801299,40025640,1104-01 DEUDORES CLIENTES,1104-01,DEUDORES CLIENTES,2026-08-07T00:00:00.000Z,Ingreso,872,3,Of virt u,,,,,,,,,,0,214914.0000,241952063.0000,476202594
129801299,40025640,1104-01 DEUDORES CLIENTES,1104-01,DEUDORES CLIENTES,2026-08-07T00:00:00.000Z,Ingreso,872,4,Of virt u,,,,,,,,,,0,385560.0000,241566503.0000,476202595
129801299,40025640,1104-01 DEUDORES CLIENTES,1104-01,DEUDORES CLIENTES,2026-08-07T00:00:00.000Z,Ingreso,872,5,Of virt u,,,,,,,,,,0,392224.0000,241174279.0000,476202596
129801299,40025640,1104-01 DEUDORES CLIENTES,1104-01,DEUDORES CLIENTES,2026-08-07T00:00:00.000Z,Ingreso,872,6,Of virt u,,,,,,,,,,0,385560.0000,240788719.0000,476202597
129802060,40025640,1104-01 DEUDORES CLIENTES,1104-01,DEUDORES CLIENTES,2026-08-07T00:00:00.000Z,Ingreso,873,2,Ingreso cencosud retail s.a.,,,,,,,,,,0,72138492.0000,168650227.0000,476205681
129544719,40025640,1104-01 DEUDORES CLIENTES,1104-01,DEUDORES CLIENTES,2026-08-11T00:00:00.000Z,Ingreso,862,1,Of centra transfer de savia,,,,,,,,,,0,571200.0000,168079027.0000,475365235
129544531,40025640,1104-01 DEUDORES CLIENTES,1104-01,DEUDORES CLIENTES,2026-08-12T00:00:00.000Z,Ingreso,861,1,Of centra transfer de savia,,,,,,,,,,0,142800.0000,167936227.0000,475364681
129800945,40025640,1104-01 DEUDORES CLIENTES,1104-01,DEUDORES CLIENTES,2026-08-12T00:00:00.000Z,Ingreso,871,1,Of virt u,,,,,,,,,,0,385560.0000,167550667.0000,476201106
129800945,40025640,1104-01 DEUDORES CLIENTES,1104-01,DEUDORES CLIENTES,2026-08-12T00:00:00.000Z,Ingreso,871,2,Of virt u,,,,,,,,,,0,141848.0000,167408819.0000,476201107
129800945,40025640,1104-01 DEUDORES CLIENTES,1104-01,DEUDORES CLIENTES,2026-08-12T00:00:00.000Z,Ingreso,871,3,Of virt u,,,,,,,,,,0,385560.0000,167023259.0000,476201108
129724270,40025640,1104-01 DEUDORES CLIENTES,1104-01,DEUDORES CLIENTES,2026-08-14T00:00:00.000Z,Ingreso,869,1,Of virt u,,,,,,,,,,0,385560.0000,166637699.0000,475939007
129724270,40025640,1104-01 DEUDORES CLIENTES,1104-01,DEUDORES CLIENTES,2026-08-14T00:00:00.000Z,Ingreso,869,2,Of virt u,,,,,,,,,,0,374493.0000,166263206.0000,475939008
129724270,40025640,1104-01 DEUDORES CLIENTES,1104-01,DEUDORES CLIENTES,2026-08-14T00:00:00.000Z,Ingreso,869,3,Of virt u,,,,,,,,,,0,385560.0000,165877646.0000,475939009
129724270,40025640,1104-01 DEUDORES CLIENTES,1104-01,DEUDORES CLIENTES,2026-08-14T00:00:00.000Z,Ingreso,869,4,Of virt u,,,,,,,,,,0,385560.0000,165492086.0000,475939010
129724270,40025640,1104-01 DEUDORES CLIENTES,1104-01,DEUDORES CLIENTES,2026-08-14T00:00:00.000Z,Ingreso,869,5,Of virt u,,,,,,,,,,0,374493.0000,165117593.0000,475939011
129724270,40025640,1104-01 DEUDORES CLIENTES,1104-01,DEUDORES CLIENTES,2026-08-14T00:00:00.000Z,Ingreso,869,6,Of virt u,,,,,,,,,,0,516341.0000,164601252.0000,475939012
129724270,40025640,1104-01 DEUDORES CLIENTES,1104-01,DEUDORES CLIENTES,2026-08-14T00:00:00.000Z,Ingreso,869,7,Of virt u,,,,,,,,,,0,1713600.0000,162887652.0000,475939013
129724270,40025640,1104-01 DEUDORES CLIENTES,1104-01,DEUDORES CLIENTES,2026-08-14T00:00:00.000Z,Ingreso,869,8,Of virt u,,,,,,,,,,0,385560.0000,162502092.0000,475939014
129724270,40025640,1104-01 DEUDORES CLIENTES,1104-01,DEUDORES CLIENTES,2026-08-14T00:00:00.000Z,Ingreso,869,9,Of virt u,,,,,,,,,,0,729113.0000,161772979.0000,475939015
129726697,40025640,1104-01 DEUDORES CLIENTES,1104-01,DEUDORES CLIENTES,2026-08-14T00:00:00.000Z,Ingreso,870,2,Buin deposito cheque/documento,,,,,,,,,,0,64997346.0000,96775633.0000,475946849
129722751,40025640,1104-01 DEUDORES CLIENTES,1104-01,DEUDORES CLIENTES,2026-08-19T00:00:00.000Z,Ingreso,868,1,Of virt u,,,,,,,,,,0,784448.0000,95991185.0000,475931588
129722751,40025640,1104-01 DEUDORES CLIENTES,1104-01,DEUDORES CLIENTES,2026-08-19T00:00:00.000Z,Ingreso,868,2,Of virt u,,,,,,,,,,0,599760.0000,95391425.0000,475931592
129722751,40025640,1104-01 DEUDORES CLIENTES,1104-01,DEUDORES CLIENTES,2026-08-19T00:00:00.000Z,Ingreso,868,3,Of virt u,,,,,,,,,,0,678062.0000,94713363.0000,475931594
129722751,40025640,1104-01 DEUDORES CLIENTES,1104-01,DEUDORES CLIENTES,2026-08-19T00:00:00.000Z,Ingreso,868,4,Of virt u,,,,,,,,,,0,385560.0000,94327803.0000,475931595
129722751,40025640,1104-01 DEUDORES CLIENTES,1104-01,DEUDORES CLIENTES,2026-08-19T00:00:00.000Z,Ingreso,868,5,Of virt u,,,,,,,,,,0,385560.0000,93942243.0000,475931596
129721665,40025640,1104-01 DEUDORES CLIENTES,1104-01,DEUDORES CLIENTES,2026-08-21T00:00:00.000Z,Ingreso,866,1,Of virt u,,,,,,,,,,0,1028160.0000,92914083.0000,475928352
129721665,40025640,1104-01 DEUDORES CLIENTES,1104-01,DEUDORES CLIENTES,2026-08-21T00:00:00.000Z,Ingreso,866,2,Of virt u,,,,,,,,,,0,356762.0000,92557321.0000,475928353
129721665,40025640,1104-01 DEUDORES CLIENTES,1104-01,DEUDORES CLIENTES,2026-08-21T00:00:00.000Z,Ingreso,866,3,Of virt u,,,,,,,,,,0,385560.0000,92171761.0000,475928354
129721665,40025640,1104-01 DEUDORES CLIENTES,1104-01,DEUDORES CLIENTES,2026-08-21T00:00:00.000Z,Ingreso,866,4,Of virt u,,,,,,,,,,0,941885.0000,91229876.0000,475928355
129721665,40025640,1104-01 DEUDORES CLIENTES,1104-01,DEUDORES CLIENTES,2026-08-21T00:00:00.000Z,Ingreso,866,5,Of virt u,,,,,,,,,,0,385560.0000,90844316.0000,475928356
129721665,40025640,1104-01 DEUDORES CLIENTES,1104-01,DEUDORES CLIENTES,2026-08-21T00:00:00.000Z,Ingreso,866,6,Of virt u,,,,,,,,,,0,385560.0000,90458756.0000,475928357
129721665,40025640,1104-01 DEUDORES CLIENTES,1104-01,DEUDORES CLIENTES,2026-08-21T00:00:00.000Z,Ingreso,866,7,Of virt u,,,,,,,,,,0,3868452.0000,86590304.0000,475928358
